System ID,Deutsch,English,le français,日本語,русский язык,中文
30000108,Nieril,Nieril,Nieril,ニーリル,Nieril,列日珥
30000109,Berta,Berta,Berta,ベアタ,Berta,贝尔塔
30000110,Bekirdod,Bekirdod,Bekirdod,ベキアドド,Bekirdod,被吉尔多德
30000111,Hothomouh,Hothomouh,Hothomouh,ホソモー,Hothomouh,霍特毛乌
30000112,Arnola,Arnola,Arnola,アーノラ,Arnola,艾尔莫拉
30000113,Astabih,Astabih,Astabih,アスタビー,Astabih,埃斯塔比赫
30000114,Ubtes,Ubtes,Ubtes,ウブテス,Ubtes,乌比特斯
30000115,Bimener,Bimener,Bimener,ビメナー,Bimener,拜盟尼尔
30000116,Kenobanala,Kenobanala,Kenobanala,ケノバナラ,Kenobanala,科诺巴纳拉
30000117,Khabi,Khabi,Khabi,カービ,Khabi,卡比
30000118,Uanzin,Uanzin,Uanzin,ユアンジン,Uanzin,万泽因
30000119,Itamo,Itamo,Itamo,イタモ,Itamo,伊塔莫
30000120,Mitsolen,Mitsolen,Mitsolen,ミトソレン,Mitsolen,密茨伦
30000121,Jatate,Jatate,Jatate,ジャタテ,Jatate,贾塔特
30000122,Mahtista,Mahtista,Mahtista,マーティスタ,Mahtista,玛提斯塔
30000123,Vaankalen,Vaankalen,Vaankalen,バーンカレン,Vaankalen,瓦安卡伦
30000124,Kylmabe,Kylmabe,Kylmabe,キルマベ,Kylmabe,基尔玛贝
30000125,Ahtulaima,Ahtulaima,Ahtulaima,アートゥライマ,Ahtulaima,阿图莱玛
30000126,Geras,Geras,Geras,ジェラズ,Geras,基尔拉斯
30000127,Sirseshin,Sirseshin,Sirseshin,シルセシン,Sirseshin,希尔瑟新
30000128,Tuuriainas,Tuuriainas,Tuuriainas,トゥリアナス,Tuuriainas,图乌瑞纳
30000129,Unpas,Unpas,Unpas,ウンパス,Unpas,乌恩帕斯
30000130,Shihuken,Shihuken,Shihuken,シフケン,Shihuken,什胡肯
30000131,Nomaa,Nomaa,Nomaa,ノマー,Nomaa,诺玛尔
30000132,Ansila,Ansila,Ansila,アンシラ,Ansila,安斯拉
30000133,Hirtamon,Hirtamon,Hirtamon,ヒルタモン,Hirtamon,希尔塔蒙
30000134,Hykkota,Hykkota,Hykkota,ヒッコタ,Hykkota,西卡塔
30000135,Outuni,Outuni,Outuni,オウトゥニ,Outuni,欧图尼
30000136,Ohmahailen,Ohmahailen,Ohmahailen,オーマハイレン,Ohmahailen,奥马海仑
30000137,Eskunen,Eskunen,Eskunen,エスクネン,Eskunen,尤斯库仑
30000138,Ikuchi,Ikuchi,Ikuchi,イクチ,Ikuchi,伊库奇
30000139,Urlen,Urlen,Urlen,ウルレン,Urlen,乌尔仑
30000140,Maurasi,Maurasi,Maurasi,マウラシ,Maurasi,玛乌纳斯
30000141,Kisogo,Kisogo,Kisogo,キソゴ,Kisogo,基索加
30000142,Jita,Jita,Jita,ジタ,Jita,吉他
30000143,Niyabainen,Niyabainen,Niyabainen,ニヤバイネン,Niyabainen,尼亚拜伦
30000144,Perimeter,Perimeter,Perimeter,ペリメーター,Perimeter,皮尔米特
30000145,New Caldari,NewCaldari,New Caldari,ニューカルダリ,New Caldari,新加达里
30000146,Saisio,Saisio,Saisio,サイシオ,Saisio,赛西奥
30000147,Abagawa,Abagawa,Abagawa,アバガワ,Abagawa,埃巴加瓦
30000148,Jakanerva,Jakanerva,Jakanerva,ジャカネルバ,Jakanerva,贾卡纳尔维
30000149,Gekutami,Gekutami,Gekutami,ゲクタミ,Gekutami,格昆塔米
30000150,Hurtoken,Hurtoken,Hurtoken,フルトケン,Hurtoken,胡尔托肯
30000151,Uoyonen,Uoyonen,Uoyonen,ウオヨネン,Uoyonen,欧约伦
30000152,Hampinen,Hampinen,Hampinen,ハムピネン,Hampinen,哈比伦
30000153,Poinen,Poinen,Poinen,ポイネン,Poinen,波耶伦
30000154,Liekuri,Liekuri,Liekuri,リークリ,Liekuri,列库里
30000155,Obanen,Obanen,Obanen,オバネン,Obanen,奥班伦
30000156,Josameto,Josameto,Josameto,ジョサメト,Josameto,乔萨密陀
30000157,Otela,Otela,Otela,オテラ,Otela,乌特拉
30000158,Olo,Olo,Olo,オロ,Olo,欧罗
30000159,Ikami,Ikami,Ikami,イカミ,Ikami,伊卡密
30000160,Reisen,Reisen,Reisen,レイセン,Reisen,莱伊森
30000161,Purjola,Purjola,Purjola,パーヨラ,Purjola,普尔乔拉
30000162,Maila,Maila,Maila,マイラ,Maila,马伊拉
30000163,Akora,Akora,Akora,アコラ,Akora,爱科拉
30000164,Messoya,Messoya,Messoya,メッソヤ,Messoya,米瑟约亚
30000165,Ishisomo,Ishisomo,Ishisomo,イシソモ,Ishisomo,伊什索蒙
30000166,Airmia,Airmia,Airmia,エアミア,Airmia,艾尔米亚
30000167,Sakkikainen,Sakkikainen,Sakkikainen,サッキカイネン,Sakkikainen,萨基凯伦
30000168,Friggi,Friggi,Friggi,フリッギ,Friggi,弗瑞吉
30000169,Ihakana,Ihakana,Ihakana,イハカナ,Ihakana,以哈坎拿
30000170,Vahunomi,Vahunomi,Vahunomi,バフノミ,Vahunomi,瓦胡诺米
30000171,Otitoh,Otitoh,Otitoh,オチトー,Otitoh,欧提托
30000172,Otomainen,Otomainen,Otomainen,オトマイネン,Otomainen,欧塔迈伦
30000173,Vattuolen,Vattuolen,Vattuolen,バットゥ,Vattuolen,瓦托伦
30000174,Onuse,Onuse,Onuse,オヌセ,Onuse,温努斯
30000175,Soshin,Soshin,Soshin,ソシン,Soshin,索什恩
30000176,Keikaken,Keikaken,Keikaken,ケイカケン,Keikaken,科伊卡肯
30000177,Ukkalen,Ukkalen,Ukkalen,ウッカレン,Ukkalen,乌卡伦
30000178,Akkilen,Akkilen,Akkilen,アッキレン,Akkilen,埃吉伦
30000179,Silen,Silen,Silen,サイレン,Silen,斯勒恩
30000180,Osmon,Osmon,Osmon,オスモン,Osmon,欧斯蒙
30000181,Korsiki,Korsiki,Korsiki,コルシキ,Korsiki,库尔斯基
30000182,Inaya,Inaya,Inaya,イナヤ,Inaya,因纳亚
30000183,Nuken,Nuken,Nuken,ヌケン,Nuken,鲁肯
30000184,Uminas,Uminas,Uminas,ウミナス,Uminas,乌米纳斯
30000185,Airaken,Airaken,Airaken,アイラケン,Airaken,艾拉肯
30000186,Oijanen,Oijanen,Oijanen,オイジャネン,Oijanen,欧加仑
30000187,Wuos,Wuos,Wuos,ウオス,Wuos,乌欧斯
30000188,Hentogaira,Hentogaira,Hentogaira,ヘントガイラ,Hentogaira,恒托加拉
30000189,Kiainti,Kiainti,Kiainti,キアンティ,Kiainti,吉安提
30000190,Vasala,Vasala,Vasala,バサラ,Vasala,瓦萨拉
30000191,Walvalin,Walvalin,Walvalin,ワルバリン,Walvalin,瓦尔瓦林
30000192,Otanuomi,Otanuomi,Otanuomi,オタヌオミ,Otanuomi,欧塔诺米
30000193,Vouskiaho,Vouskiaho,Vouskiaho,ボウスキアホ,Vouskiaho,沃斯基奥
30000194,Otsela,Otsela,Otsela,オトセラ,Otsela,欧特色拉
30000195,Tasti,Tasti,Tasti,タスティ,Tasti,塔瑟提
30000196,Otosela,Otosela,Otosela,オトセラ,Otosela,奥塔希拉
30000197,Uemon,Uemon,Uemon,ウエモン,Uemon,尤蒙
30000198,Paala,Paala,Paala,パーラ,Paala,帕拉
30000199,Fuskunen,Fuskunen,Fuskunen,フスクネン,Fuskunen,夫斯库仑
30000200,Akkio,Akkio,Akkio,アッキオ,Akkio,埃加奥
30000201,Uchoshi,Uchoshi,Uchoshi,ウチョシ,Uchoshi,乌查什
30000202,Mastakomon,Mastakomon,Mastakomon,マスタコモン,Mastakomon,马斯塔克蒙
30000203,Eruka,Eruka,Eruka,エルカ,Eruka,伊卢卡
30000204,Ohkunen,Ohkunen,Ohkunen,オークネン,Ohkunen,欧库仑
30000205,Obe,Obe,Obe,オベ,Obe,欧贝
30000206,Wirashoda,Wirashoda,Wirashoda,ワイラショダ,Wirashoda,维拉希达
30000207,Osaa,Osaa,Osaa,オサー,Osaa,奥斯阿
30000208,LZ-6SU,LZ-6SU,LZ-6SU,LZ-6SU,LZ-6SU,LZ-6SU
30000209,MC6O-F,MC6O-F,MC6O-F,MC6O-F,MC6O-F,MC6O-F
30000210,U54-1L,U54-1L,U54-1L,U54-1L,U54-1L,U54-1L
30000211,B-588R,B-588R,B-588R,B-588R,B-588R,B-588R
30000212,NCGR-Q,NCGR-Q,NCGR-Q,NCGR-Q,NCGR-Q,NCGR-Q
30000213,G-LOIT,G-LOIT,G-LOIT,G-LOIT,G-LOIT,G-LOIT
30000214,HE-V4V,HE-V4V,HE-V4V,HE-V4V,HE-V4V,HE-V4V
30000215,N-HSK0,N-HSK0,N-HSK0,N-HSK0,N-HSK0,N-HSK0
30000216,05R-7A,05R-7A,05R-7A,05R-7A,05R-7A,05R-7A
30000217,7-UH4Z,7-UH4Z,7-UH4Z,7-UH4Z,7-UH4Z,7-UH4Z
30000218,5ZO-NZ,5ZO-NZ,5ZO-NZ,5ZO-NZ,5ZO-NZ,5ZO-NZ
30000219,FS-RFL,FS-RFL,FS-RFL,FS-RFL,FS-RFL,FS-RFL
30000220,Y0-BVN,Y0-BVN,Y0-BVN,Y0-BVN,Y0-BVN,Y0-BVN
30000221,X97D-W,X97D-W,X97D-W,X97D-W,X97D-W,X97D-W
30000222,0-R5TS,0-R5TS,0-R5TS,0-R5TS,0-R5TS,0-R5TS
30000223,H-UCD1,H-UCD1,H-UCD1,H-UCD1,H-UCD1,H-UCD1
30000224,7-K5EL,7-K5EL,7-K5EL,7-K5EL,7-K5EL,7-K5EL
30000225,H-5GUI,H-5GUI,H-5GUI,H-5GUI,H-5GUI,H-5GUI
30000226,FH-TTC,FH-TTC,FH-TTC,FH-TTC,FH-TTC,FH-TTC
30000227,FMBR-8,FMBR-8,FMBR-8,FMBR-8,FMBR-8,FMBR-8
30000228,3HX-DL,3HX-DL,3HX-DL,3HX-DL,3HX-DL,3HX-DL
30000229,UH-9ZG,UH-9ZG,UH-9ZG,UH-9ZG,UH-9ZG,UH-9ZG
30000230,NFM-0V,NFM-0V,NFM-0V,NFM-0V,NFM-0V,NFM-0V
30000231,YXIB-I,YXIB-I,YXIB-I,YXIB-I,YXIB-I,YXIB-I
30000232,MY-T2P,MY-T2P,MY-T2P,MY-T2P,MY-T2P,MY-T2P
30000233,FA-DMO,FA-DMO,FA-DMO,FA-DMO,FA-DMO,FA-DMO
30000234,GEKJ-9,GEKJ-9,GEKJ-9,GEKJ-9,GEKJ-9,GEKJ-9
30000235,Q-R3GP,Q-R3GP,Q-R3GP,Q-R3GP,Q-R3GP,Q-R3GP
30000236,N-5QPW,N-5QPW,N-5QPW,N-5QPW,N-5QPW,N-5QPW
30000237,XV-8JQ,XV-8JQ,XV-8JQ,XV-8JQ,XV-8JQ,XV-8JQ
30000238,WBR5-R,WBR5-R,WBR5-R,WBR5-R,WBR5-R,WBR5-R
30000239,4GYV-Q,4GYV-Q,4GYV-Q,4GYV-Q,4GYV-Q,4GYV-Q
30000240,4-HWWF,4-HWWF,4-HWWF,4-HWWF,4-HWWF,4-HWWF
30000241,YMJG-4,YMJG-4,YMJG-4,YMJG-4,YMJG-4,YMJG-4
30000242,8TPX-N,8TPX-N,8TPX-N,8TPX-N,8TPX-N,8TPX-N
30000243,PM-DWE,PM-DWE,PM-DWE,PM-DWE,PM-DWE,PM-DWE
30000244,K8X-6B,K8X-6B,K8X-6B,K8X-6B,K8X-6B,K8X-6B
30000245,X445-5,X445-5,X445-5,X445-5,X445-5,X445-5
30000246,KRUN-N,KRUN-N,KRUN-N,KRUN-N,KRUN-N,KRUN-N
30000247,9OO-LH,9OO-LH,9OO-LH,9OO-LH,9OO-LH,9OO-LH
30000248,V-OJEN,V-OJEN,V-OJEN,V-OJEN,V-OJEN,V-OJEN
30000249,EIDI-N,EIDI-N,EIDI-N,EIDI-N,EIDI-N,EIDI-N
30000250,P3EN-E,P3EN-E,P3EN-E,P3EN-E,P3EN-E,P3EN-E
30000251,49-0LI,49-0LI,49-0LI,49-0LI,49-0LI,49-0LI
30000252,IPAY-2,IPAY-2,IPAY-2,IPAY-2,IPAY-2,IPAY-2
30000253,DAYP-G,DAYP-G,DAYP-G,DAYP-G,DAYP-G,DAYP-G
30000254,IFJ-EL,IFJ-EL,IFJ-EL,IFJ-EL,IFJ-EL,IFJ-EL
30000255,47L-J4,47L-J4,47L-J4,47L-J4,47L-J4,47L-J4
30000256,Q-L07F,Q-L07F,Q-L07F,Q-L07F,Q-L07F,Q-L07F
30000257,E-D0VZ,E-D0VZ,E-D0VZ,E-D0VZ,E-D0VZ,E-D0VZ
30000258,6WW-28,6WW-28,6WW-28,6WW-28,6WW-28,6WW-28
30000259,A8A-JN,A8A-JN,A8A-JN,A8A-JN,A8A-JN,A8A-JN
30000260,S-NJBB,S-NJBB,S-NJBB,S-NJBB,S-NJBB,S-NJBB
30000261,T-GCGL,T-GCGL,T-GCGL,T-GCGL,T-GCGL,T-GCGL
30000262,0MV-4W,0MV-4W,0MV-4W,0MV-4W,0MV-4W,0MV-4W
30000263,TVN-FM,TVN-FM,TVN-FM,TVN-FM,TVN-FM,TVN-FM
30000264,V-NL3K,V-NL3K,V-NL3K,V-NL3K,V-NL3K,V-NL3K
30000265,AZBR-2,AZBR-2,AZBR-2,AZBR-2,AZBR-2,AZBR-2
30000266,Z-8Q65,Z-8Q65,Z-8Q65,Z-8Q65,Z-8Q65,Z-8Q65
30000267,0J3L-V,0J3L-V,0J3L-V,0J3L-V,0J3L-V,0J3L-V
30000268,H-NOU5,H-NOU5,H-NOU5,H-NOU5,H-NOU5,H-NOU5
30000269,KX-2UI,KX-2UI,KX-2UI,KX-2UI,KX-2UI,KX-2UI
30000270,MO-FIF,MO-FIF,MO-FIF,MO-FIF,MO-FIF,MO-FIF
30000271,97-M96,97-M96,97-M96,97-M96,97-M96,97-M96
30000272,MA-XAP,MA-XAP,MA-XAP,MA-XAP,MA-XAP,MA-XAP
30000273,C-J7CR,C-J7CR,C-J7CR,C-J7CR,C-J7CR,C-J7CR
30000274,Q-EHMJ,Q-EHMJ,Q-EHMJ,Q-EHMJ,Q-EHMJ,Q-EHMJ
30000275,XSQ-TF,XSQ-TF,XSQ-TF,XSQ-TF,XSQ-TF,XSQ-TF
30000276,H-1EOH,H-1EOH,H-1EOH,H-1EOH,H-1EOH,H-1EOH
30000277,IR-DYY,IR-DYY,IR-DYY,IR-DYY,IR-DYY,IR-DYY
30000278,C-DHON,C-DHON,C-DHON,C-DHON,C-DHON,C-DHON
30000279,F-D49D,F-D49D,F-D49D,F-D49D,F-D49D,F-D49D
30000280,MQ-O27,MQ-O27,MQ-O27,MQ-O27,MQ-O27,MQ-O27
30000281,H-EY0P,H-EY0P,H-EY0P,H-EY0P,H-EY0P,H-EY0P
30000282,UNAG-6,UNAG-6,UNAG-6,UNAG-6,UNAG-6,UNAG-6
30000283,E-SCTX,E-SCTX,E-SCTX,E-SCTX,E-SCTX,E-SCTX
30000284,S6QX-N,S6QX-N,S6QX-N,S6QX-N,S6QX-N,S6QX-N
30000285,IT-YAU,IT-YAU,IT-YAU,IT-YAU,IT-YAU,IT-YAU
30000286,1VK-6B,1VK-6B,1VK-6B,1VK-6B,1VK-6B,1VK-6B
30000287,7-PO3P,7-PO3P,7-PO3P,7-PO3P,7-PO3P,7-PO3P
30000288,1W-0KS,1W-0KS,1W-0KS,1W-0KS,1W-0KS,1W-0KS
30000289,669-IX,669-IX,669-IX,669-IX,669-IX,669-IX
30000290,0R-F2F,0R-F2F,0R-F2F,0R-F2F,0R-F2F,0R-F2F
30000291,R-P7KL,R-P7KL,R-P7KL,R-P7KL,R-P7KL,R-P7KL
30000292,2DWM-2,2DWM-2,2DWM-2,2DWM-2,2DWM-2,2DWM-2
30000293,XF-PWO,XF-PWO,XF-PWO,XF-PWO,XF-PWO,XF-PWO
30000294,1N-FJ8,1N-FJ8,1N-FJ8,1N-FJ8,1N-FJ8,1N-FJ8
30000295,VI2K-J,VI2K-J,VI2K-J,VI2K-J,VI2K-J,VI2K-J
30000296,ZLZ-1Z,ZLZ-1Z,ZLZ-1Z,ZLZ-1Z,ZLZ-1Z,ZLZ-1Z
30000297,6Y-WRK,6Y-WRK,6Y-WRK,6Y-WRK,6Y-WRK,6Y-WRK
30000298,RVCZ-C,RVCZ-C,RVCZ-C,RVCZ-C,RVCZ-C,RVCZ-C
30000299,5T-KM3,5T-KM3,5T-KM3,5T-KM3,5T-KM3,5T-KM3
30000300,LS9B-9,LS9B-9,LS9B-9,LS9B-9,LS9B-9,LS9B-9
30000301,1-GBBP,1-GBBP,1-GBBP,1-GBBP,1-GBBP,1-GBBP
30000302,C-FP70,C-FP70,C-FP70,C-FP70,C-FP70,C-FP70
30000303,T-ZWA1,T-ZWA1,T-ZWA1,T-ZWA1,T-ZWA1,T-ZWA1
30000304,ZA0L-U,ZA0L-U,ZA0L-U,ZA0L-U,ZA0L-U,ZA0L-U
30000305,G96R-F,G96R-F,G96R-F,G96R-F,G96R-F,G96R-F
30000306,Y-ZXIO,Y-ZXIO,Y-ZXIO,Y-ZXIO,Y-ZXIO,Y-ZXIO
30000307,B-E3KQ,B-E3KQ,B-E3KQ,B-E3KQ,B-E3KQ,B-E3KQ
30000308,Y5J-EU,Y5J-EU,Y5J-EU,Y5J-EU,Y5J-EU,Y5J-EU
30000309,O-LR1H,O-LR1H,O-LR1H,O-LR1H,O-LR1H,O-LR1H
30000310,G5ED-Y,G5ED-Y,G5ED-Y,G5ED-Y,G5ED-Y,G5ED-Y
30000311,BR-6XP,BR-6XP,BR-6XP,BR-6XP,BR-6XP,BR-6XP
30000312,8-TFDX,8-TFDX,8-TFDX,8-TFDX,8-TFDX,8-TFDX
30000313,UL-4ZW,UL-4ZW,UL-4ZW,UL-4ZW,UL-4ZW,UL-4ZW
30000314,A-QRQT,A-QRQT,A-QRQT,A-QRQT,A-QRQT,A-QRQT
30000315,WMBZ-U,WMBZ-U,WMBZ-U,WMBZ-U,WMBZ-U,WMBZ-U
30000316,PX5-LR,PX5-LR,PX5-LR,PX5-LR,PX5-LR,PX5-LR
30000317,A3-RQ3,A3-RQ3,A3-RQ3,A3-RQ3,A3-RQ3,A3-RQ3
30000318,9-GBPD,9-GBPD,9-GBPD,9-GBPD,9-GBPD,9-GBPD
30000319,LS-JEP,LS-JEP,LS-JEP,LS-JEP,LS-JEP,LS-JEP
30000320,R-RSZZ,R-RSZZ,R-RSZZ,R-RSZZ,R-RSZZ,R-RSZZ
30000321,MGAM-4,MGAM-4,MGAM-4,MGAM-4,MGAM-4,MGAM-4
30000322,VORM-W,VORM-W,VORM-W,VORM-W,VORM-W,VORM-W
30000323,7G-H7D,7G-H7D,7G-H7D,7G-H7D,7G-H7D,7G-H7D
30000324,Q3-BAY,Q3-BAY,Q3-BAY,Q3-BAY,Q3-BAY,Q3-BAY
30000325,JZV-F4,JZV-F4,JZV-F4,JZV-F4,JZV-F4,JZV-F4
30000326,WF-1LM,WF-1LM,WF-1LM,WF-1LM,WF-1LM,WF-1LM
30000327,D95-FQ,D95-FQ,D95-FQ,D95-FQ,D95-FQ,D95-FQ
30000328,ZSPJ-K,ZSPJ-K,ZSPJ-K,ZSPJ-K,ZSPJ-K,ZSPJ-K
30000329,U1F-86,U1F-86,U1F-86,U1F-86,U1F-86,U1F-86
30000330,T-P7A6,T-P7A6,T-P7A6,T-P7A6,T-P7A6,T-P7A6
30000331,Y-T3JJ,Y-T3JJ,Y-T3JJ,Y-T3JJ,Y-T3JJ,Y-T3JJ
